   ID   EstSteps/Gap%            Cost
   94              15      0.14716700
  590              15      0.24448700
  436              15      0.30125000
  386              15      0.28819600
  112              15      0.26117500
  523              15      0.20518800
  553              15      0.22894900
  397              15      0.21667700
  190              15      0.19446200
  551              15      0.20431800
  477              15      0.26083100
  252              15      0.22423800
  215               7      0.41410800
  301               7      0.18628700
  452               7      0.21222800
  531               7      0.26499500
  586               7      0.19793500
  492               7      0.17996700
  194               7      0.19992700
  506               7      0.19597000
  424               7      0.31586500
  543               7      0.13354900
  165               7      0.22844900
  537               7      0.42643800
  503               7      0.22271400
  343               7      0.25951300
  179               3      0.33148400
  298               3      0.22239500
  177               3      0.16125900
  462               3      0.18416500
  463               3      0.23623400
  155               3      0.31700600
   53               0      0.18068000
  358               0      0.19012700
  410               0      0.23414100
   97               0      0.16665400
  257               0      0.17900300
  154               0      0.22828200
  248               0      0.33128400
  544               0      0.25735600
  403               0      0.27560800
  429               0      0.17287100
   67               0      0.12809400
  272               0      0.17279200
    1               0      0.17845700
  525               0      0.23660400
  391               0      0.13944100
  516               0      0.19393500
  186               0      0.16783300
  420               0      0.14084200
  418               0      0.24737300
  371               0      0.20709100
   77               0      0.38639100
  216               0      0.15348000
   14               0      0.19197200
  647               0      0.13298500
  545               0      0.14754900
  444               0      0.19638800
  441               0      0.18506100
  542               0      0.23889800
  381               0      0.24194100
    2               0      0.22357300
  479               0      0.20669600
  133               0      0.19588100
  327               0      0.26229000
  400               0      0.17252400
  569               0      0.14700800
  153               0      0.29250000
  521               0      0.16406400
  500               0      0.27356400
  123               0      0.12607100
  349               0      0.33278000
  245               0      0.32176800
   29               0      0.23701000
  520               0      0.30625900
  560               0      0.22714400
  467               0      0.24218500
   33               0      0.16643600
  422               0      0.17378400
  324               0      0.16428900
  566               0      0.18044700
  684               0      0.17207900
  289               0      0.19348100
  559               0      0.25681000
  222               0      0.14427100
  679               0      0.18791600
  451               0      0.16630800
  426               0      0.20827500
  101               0      0.15162600
   47               0      0.17575500
  450               0      0.21227500
  533               0      0.22813400
  207               0      0.28788500
  572               0      0.17342900
  417               0      0.22978500
  217               0      0.31851400
  548               0      0.16490900
  368               0      0.18301600
  119               0      0.17185000
  639               0      0.20123300
  490               0      0.15254100
  437               0      0.15467500
  193               0      0.28097500
  487               0      0.14963800
  447               0      0.21307000
  329               0      0.16219400
  306               0      0.24773300
  243               0      0.16122100
  653               0      0.24889900
  394               0      0.16266900
  379               0      0.15851100
  315               0      0.18142000
  288               0      0.19497200
  224               0      0.26007000
  720               0      0.19749500
  561               0      0.15193500
  491               0      0.13887500
    0               0      0.16736400
  389               0      0.18268200
   72               0      0.24706500
  562               0      0.18560800
  475               0      0.13932600
  582               0      0.17905700
  261               0      0.11326800
  137               0      0.19341800
   42               0      0.22273100
   26               0      0.17519900
  515               0      0.17576200
  364               0      0.30777000
  234               0      0.15061500
   24               0      0.22453800
  469               0      0.15184900
  372               0      0.18207900
  348               0      0.24434900
  267               0      0.17313300
  577               0      0.30795600
  517               0      0.22614400
  405               0      0.13707100
  350               0      0.18223300
  221               0      0.18606200
   58               0      0.25817500
  712               0      0.16514200
  578               0      0.14527400
  555               0      0.24149400
   61               0      0.31748700
  278               0      0.30462000
  180               0      0.18884600
  128               0      0.21724900
  240               0      0.17753200
  466               0      0.12211800
  412               0      0.45140800
  375               0      0.19050800
  113               0      0.19264400
   75               0      0.14071700
  342               0      0.18445300
  135               0      0.22809600
  286               0      0.14022900
   68               0      0.22095000
   23               0      0.17072700
  693               0      0.16561500
  651               0      0.15293400
  539               0      0.25762100
  407               0      0.18071400
  274               0      0.13687900
  725               0      0.22703800
  607               0      0.16077300
  377               0      0.14779500
  370               0      0.17109700
  208               0      0.21028100
   65               0      0.27888800
  556               0      0.23500900
  355               0      0.18311300
   71               0      0.22277200
   52               0      0.15871600
   10               0      0.21763400
  602               0      0.15537800
   43               0      0.19853700
   78               0      0.19629000
  702               0      0.20752200
  320               0      0.17781200
  439               0      0.17814500
  127               0      0.20490000
  579               0      0.15251800
  352               0      0.23514100
  296               0      0.13969000
  235               0      0.17300200
  141               0      0.20445600
   13               0      0.14377000
  713               0      0.21363800
  625               0      0.20541300
  518               0      0.13307200
  307               0      0.20601300
  209               0      0.23289500
  114               0      0.11725900
   50               0      0.17157200
  730               0      0.17638400
  714               0      0.15513200
  616               0      0.14119900
  528               0      0.15946600
  468               0      0.16169700
  465               0      0.15800000
  285               0      0.17849500
  271               0      0.21303200
  122               0      0.16773900
  473               0      0.21125500
  259               0      0.14544900
   74               0      0.19592700
  669               0      0.22779300
  454               0      0.15702800
  385               0      0.22367500
  369               0      0.16061200
  640               0      0.19473200
  488               0      0.14159700
  263               0      0.23018000
   88               0      0.33208400
   93               0      0.15860900
   17               0      0.30508700
  659               0      0.15941300
  608               0      0.14918300
  606               0      0.17782700
  482               0      0.21448700
  408               0      0.15044100
  388               0      0.24422200
  249               0      0.20031900
  229               0      0.25536800
  225               0      0.15975200
  192               0      0.22767700
   82               0      0.19458800
  710               0      0.16635100
  655               0      0.19931700
  612               0      0.18511400
  597               0      0.20882400
  411               0      0.19346100
  354               0      0.16645200
  156               0      0.17073000
  685               0      0.15265700
  673               0      0.19774400
  638               0      0.12884500
  605               0      0.24171400
  446               0      0.22406500
  434               0      0.25481200
  287               0      0.12595100
  170               0      0.19623100
  157               0      0.18787800
  104               0      0.17115800
  461               0      0.14538400
  353               0      0.24247100
  299               0      0.30323000
  242               0      0.20189800
  175               0      0.25472900
  629               0      0.18657000
  313               0      0.20440500
  254               0      0.21172900
  213               0      0.17661700
  557               0      0.22653600
  431               0      0.11579900
   79               0      0.18927700
   39               0      0.18856900
  728               0      0.19520600
  715               0      0.18033000
  696               0      0.17785900
  648               0      0.16301800
  637               0      0.22482700
  610               0      0.22990200
  581               0      0.16206900
  495               0      0.18690900
  309               0      0.23788500
  260               0      0.19380700
  687               0      0.15154700
  641               0      0.23432900
  617               0      0.12844900
  615               0      0.13248000
  536               0      0.20591500
  387               0      0.16173400
  269               0      0.18313000
  255               0      0.14892800
  203               0      0.18356400
  200               0      0.34151400
   35               0      0.09524000
  709               0      0.18519000
  584               0      0.19227900
  485               0      0.18056800
  396               0      0.18376700
  188               0      0.19381700
   90               0      0.11382600
   48               0      0.19127100
  583               0      0.15554600
  524               0      0.28207400
  522               0      0.17837000
  510               0      0.25393600
  414               0      0.15337000
  367               0      0.39261800
  283               0      0.21282300
  239               0      0.15716000
  206               0      0.20030500
   85               0      0.54810500
   55               0      0.24131300
  703               0      0.23636200
  666               0      0.20029200
  664               0      0.15354800
  513               0      0.13031700
  453               0      0.15118600
  433               0      0.20828800
  275               0      0.23330300
  268               0      0.19302300
   69               0      0.14761100
  599               0      0.19342800
  478               0      0.35156300
  238               0      0.28463100
  173               0      0.19266800
  162               0      0.19337400
  161               0      0.18230700
  149               0      0.21542900
  144               0      0.18438800
  152               0      0.14094300
  587               0      0.17177800
  399               0      0.13608700
  163               0      0.17601300
  511               0      0.21669800
  185               0      0.17508500
   21               0      0.20601100
   20               0      0.13951300
  658               0      0.10576300
  634               0      0.16523500
  575               0      0.17194400
  574               0      0.20895100
  333               0      0.22374600
  219               0      0.21863800
  131               0      0.13885000
  120               0      0.14463500
  691               0      0.21272100
  660               0      0.20748900
  295               0      0.15734500
  244               0      0.24148300
  195               0      0.10376800
  126               0      0.14720900
   92               0      0.13072200
  701               0      0.25485800
  563               0      0.17012600
  440               0      0.16935100
  360               0      0.15110700
  323               0      0.18606800
  262               0      0.18322500
  130               0      0.28579500
   64               0      0.32913500
   15               0      0.23908300
  652               0      0.18678700
  365               0      0.16006100
  345               0      0.14283900
  314               0      0.20018400
  143               0      0.13848500
  593               0      0.13575100
  138               0      0.16180200
  527               0      0.20879600
  148               0      0.17229900
  382               0      0.13489600
  121               0      0.14320400
  646               0      0.21447700
  621               0      0.22930700
  280               0      0.15471700
  145               0      0.09509800
  700               0      0.11358900
  686               0      0.12153300
  642               0      0.17111400
  620               0      0.29132400
  611               0      0.14294500
  604               0      0.24160200
  567               0      0.18601100
  552               0      0.15725700
  532               0      0.23337100
  514               0      0.18475300
  428               0      0.14007100
  214               0      0.16125500
  205               0      0.16207900
  146               0      0.14399700
  142               0      0.16195900
  722               0      0.21440000
  717               0      0.16366900
  681               0      0.15800800
  496               0      0.16593200
  464               0      0.20181300
  390               0      0.12550600
  362               0      0.13211200
  346               0      0.21162100
  308               0      0.18080700
  300               0      0.15458600
  247               0      0.19791400
  210               0      0.16259800
  150               0      0.28689600
  132               0      0.23721100
   83               0      0.18363300
  724               0      0.18712000
  670               0      0.12963800
  273               0      0.12043600
  251               0      0.15944100
  232               0      0.15498300
  134               0      0.17249300
  118               0      0.15374100
   27               0      0.21435000
  326               0      0.22268500
  311               0      0.22350800
  564               0      0.15065300
  282               0      0.17601600
  109               0      0.24917100
  688               0      0.17568900
  667               0      0.20784200
  663               0      0.14357900
  649               0      0.15682500
  645               0      0.19755800
  472               0      0.22407600
  443               0      0.33981300
  312               0      0.26398200
  250               0      0.17295600
  167               0      0.33904900
   38               0      0.10635800
  719               0      0.14355100
  718               0      0.11896600
  716               0      0.18089900
  678               0      0.11281400
  632               0      0.23260600
  519               0      0.14208300
  486               0      0.17139200
  471               0      0.14469300
  470               0      0.10968300
  406               0      0.18662800
  340               0      0.15586700
  236               0      0.16684700
  228               0      0.09480100
  199               0      0.16339500
  191               0      0.15800700
  129               0      0.20763400
  111               0      0.19148200
   96               0      0.10093300
   37               0      0.15889600
   22               0      0.21160900
  723               0      0.12952300
  689               0      0.15209300
  665               0      0.22054200
  633               0      0.21370700
  591               0      0.22748900
  502               0      0.17534400
  442               0      0.22011900
  435               0      0.18053100
  430               0      0.18367000
  419               0      0.14384900
  361               0      0.22992800
  338               0      0.12779300
