   ID   EstSteps/Gap%            Cost
  215              31      1.04878200
   94              31      0.83573500
  590              31      0.86882100
  301              31      0.74701200
  386              31      1.01043700
  112              31      0.93557300
  523              31      0.89337000
  436              15      0.97719000
  452              15      0.79747600
  531              15      0.84837200
  553              15      0.91311100
  397              15      1.00384300
  586              15      0.77872600
  190              15      0.72791200
  179              15      0.89584400
  298              15      0.78593800
  551              15      0.83409600
  492              15      0.65189700
  194              15      0.85903700
  477              15      0.86366900
  252              15      0.90980300
  506              15      0.82414900
  424              15      0.95630800
  165              15      0.77491800
  537              15      1.10376400
  503              15      0.65849200
  177               7      0.64621700
   53               7      0.73407700
  543               7      0.68779800
  410               7      0.76720100
  343               7      0.77236700
  462               7      0.86749600
  272               7      0.78063100
    1               7      0.82445900
  463               7      0.92839400
  516               7      0.65060200
  418               7      0.88535700
  400               7      0.93721100
  155               7      0.89113300
  358               0      0.63440000
   97               0      0.70967100
  257               0      0.80105700
  154               0      0.62398300
  248               0      0.73146600
  544               0      0.73824400
  403               0      0.75198100
  429               0      0.74610200
   67               0      0.69952700
  525               0      0.65928400
  391               0      0.70208600
  186               0      0.84341600
  420               0      0.74426400
  371               0      0.66706800
   77               0      0.89685900
  216               0      0.63498900
   14               0      0.72237200
  647               0      0.74402800
  545               0      0.63479900
  444               0      0.76522800
  441               0      0.72708300
  542               0      0.69311600
  381               0      0.86224900
    2               0      0.83058500
  479               0      0.65966700
  133               0      0.67018200
  327               0      0.71537900
  569               0      0.81606800
  153               0      0.88146200
  521               0      0.74570100
  500               0      0.78193200
  123               0      0.75598800
  349               0      1.00159200
  245               0      0.79751800
   29               0      0.85699000
  520               0      0.90497400
  560               0      0.78303100
  467               0      0.79508800
   33               0      0.77247200
  422               0      0.71132900
  324               0      0.70026400
  566               0      0.73495000
  684               0      0.89231400
  289               0      0.77146300
  559               0      0.81109000
  222               0      0.66230400
  679               0      0.81489700
  451               0      0.88865800
  426               0      0.78145500
  101               0      0.75274400
   47               0      0.59820600
  450               0      0.89591100
  533               0      0.73980200
  207               0      0.96873000
  572               0      0.83896900
  417               0      0.81815900
  217               0      0.87726500
  548               0      0.81951100
  368               0      0.80774900
  119               0      0.74169500
  639               0      0.82997200
  490               0      0.84120100
  437               0      0.82686500
  193               0      0.71532200
  487               0      0.64571700
  447               0      0.88830000
  329               0      0.71947800
  306               0      0.70319200
  243               0      0.77787900
  653               0      0.87226700
  394               0      0.89415100
  379               0      0.71797400
  315               0      0.94553900
  288               0      0.71985300
  224               0      0.71794400
  720               0      0.75586500
  561               0      0.80488200
  491               0      0.59031700
    0               0      0.88118600
  389               0      0.57260200
   72               0      0.67581800
  562               0      0.90804000
  475               0      0.81263300
  582               0      0.93992200
  261               0      0.66640900
  137               0      0.83597400
   42               0      0.80648000
   26               0      0.90776500
  515               0      0.89219300
  364               0      0.93622700
  234               0      0.72011500
   24               0      0.96608900
  469               0      0.84058100
  372               0      0.65740700
  348               0      0.71152100
  267               0      0.76364000
  577               0      0.90108300
  517               0      0.86465600
