Step   ID Smallest   ID Neighbor    ID Passive     ID Active     Result Type     IfCrgContinue
   1          4305          4306          4305          4306            4102          Continue
   2          2984          2985          2984          2985            4107          Continue
   3           700           702           700           702            4102          Continue
   4          1364          1365          1364          1365            2101          Continue
   5          1238          1239          1238          1239            4102          Continue
   6          2507          2510          2507          2510            4102          Continue
   7           619           620           619           620            2101          Continue
   8           176           174           176           174            4107          Continue
   9           173           179           173           179            2101          Continue
  10          5480          5483          5480          5483            4101          Continue
  11          1161          1167          1161          1167            4107          Continue
  12           197           199           197           199            4107          Continue
  13          5146          5155          5146          5155            4101          Continue
  14          1927          1926          1927          1926            2101          Continue
  15          5488          5492          5488          5492            4107          Continue
  16           696           697           696           697            4102          Continue
  17            25            26            25            26            4102          Continue
  18           414           413           414           413            4104          Continue
  19          4005          4006          4005          4006            4107          Continue
  20          3706          3709          3706          3709            2101          Continue
  21             5             7             5             7            4107          Continue
  22          1588          1593          1588          1593            4102          Continue
  23           245           249           245           249            2101          Continue
  24            66          5405            66          5405            2101          Continue
  25          5449          5454          5449          5454            2101          Continue
  26          4306          4307          4306          4307            4102          Continue
  27          4738          4748          4738          4748            4107          Continue
  28          4095          4098          4095          4098            4101          Continue
  29          4701          4703          4701          4703            2101          Continue
  30          5257          5258          5257          5258            4107          Continue
  31          1031          1032          1031          1032            2101          Continue
  32          1809          1806          1809          1806            2101          Continue
  33          4918          4919          4918          4919            4107          Continue
  34          4297          4299          4297          4299            4101          Continue
  35          1312          1313          1312          1313            2101          Continue
  36          3275          3276          3275          3276            4102          Continue
  37          4546          4547          4546          4547            4101          Continue
  38           672           673           672           673            2101          Continue
  39          3131          3135          3131          3135            4101          Continue
  40          2709          2710          2709          2710            4107          Continue
  41          3826          3827          3826          3827            4107          Continue
  42          4608          4609          4608          4609            2114          Continue
  43           890           891           890           891            2101          Continue
  44          4156          4158          4156          4158            2101          Continue
  45          4454          4461          4454          4461            2101          Continue
  46          1183          1185          1183          1185            2101          Continue
  47          3162          3165          3162          3165            4107          Continue
  48          1656          1659          1656          1659            4107          Continue
  49           400           402           400           402            4107          Continue
  50          3527          3534          3527          3534            4102          Continue
  51          3773          3778          3778          3773            4101          Continue
  52          3836          3838          3836          3838            4101          Continue
  53          4456          4461          4456          4461            2101          Continue
  54          3308          3310          3308          3310            4102          Continue
  55           164           171           164           171            4101          Continue
  56          3435          3438          3435          3438            4101          Continue
  57          3659          3661          3659          3661            4107          Continue
  58          3804          3805          3804          3805            2101          Continue
  59          1890          1891          1890          1891            4102          Continue
  60           796           795           796           795            4102          Continue
  61          4843          4848          4843          4848            4107          Continue
  62           915           918           915           918            4107          Continue
  63          2558          2574          2558          2574            4102          Continue
  64            36            38            36            38            4108          Continue
  65          1500          1502          1500          1502            4107          Continue
  66          2069          2073          2069          2073            4107          Continue
  67          5153          5156          5156          5153            4102          Continue
  68          2340          2337          2337          2340            4102          Continue
  69          1833          1837          1833          1837            4101          Continue
  70           822           821           822           821            4107          Continue
  71          1618          1622          1618          1622            4107          Continue
  72          4215          4214          4215          4214            4101          Continue
  73           665           666           665           666            2101              Stop
  74          2824          2825          2824          2825            4107          Continue
  75          2976          2978          2976          2978            4101          Continue
  76           263           264           263           264            4107          Continue
  77          1130          1131          1130          1131            4107          Continue
  78          4402          4403          4402          4403            4101          Continue
  79          2905          2904          2905          2904            4101          Continue
  80           436           440           436           440            4107          Continue
  81           928           931           928           931            4102          Continue
  82          2165          2172          2165          2172            4102          Continue
  83          4798          4802          4798          4802            4102          Continue
  84          2706          2715          2706          2715            4101          Continue
  85          3741          3744          3741          3744            4101          Continue
  86          2705          2715          2705          2715            4101          Continue
  87          1444          1445          1444          1445            4102          Continue
  88          1112          1110          1112          1110            4107          Continue
  89           530           534           530           534            4101          Continue
  90          1113          1110          1113          1110            4107          Continue
  91          4266          4267          4266          4267            2201          Continue
  92          3858          3866          3858          3866            4102          Continue
  93          3916          3920          3916          3920            4107          Continue
  94          5106          5108          5106          5108            4107          Continue
  95          4000          3997          3997          4000            4107          Continue
  96          3158          3160          3158          3160            4107          Continue
  97          1336          1344          1344          1336            4102          Continue
  98          2642          2645          2642          2645            4107          Continue
  99          3106          3109          3106          3109            4101          Continue
 100          2378          2380          2378          2380            4108          Continue
 101           392           394           392           394            4102          Continue
 102          5510          5506          5510          5506            4101          Continue
 103          2437          2432          2437          2432            4107          Continue
 104           609           610           609           610            4107          Continue
 105          3169          3176          3169          3176            4101          Continue
 106          1438          1443          1438          1443            2101          Continue
 107           568           569           568           569            2101          Continue
 108          4171          4170          4171          4170            5112          Continue
 109          2047          2050          2047          2050            4102          Continue
 110           365           370           365           370            4101          Continue
 111          3958          3957          3958          3957            4107          Continue
 112          2798          2804          2798          2804            4101          Continue
 113          2489          2488          2489          2488            4107          Continue
 114          4622          4624          4622          4624            2101          Continue
 115           531           533           531           533            4101          Continue
 116          4916          4920          4916          4920            4107          Continue
 117           848           846           848           846            4101          Continue
 118          4178          4181          4178          4181            4107          Continue
 119          4523          4525          4523          4525            4107          Continue
 120          2802          2806          2802          2806            4107          Continue
 121          2800          2799          2800          2799            4107          Continue
 122          2390          2394          2390          2394            4107          Continue
 123           598           599           598           599            2101          Continue
 124          1096          1099          1096          1099            4101          Continue
 125          4154          4155          4154          4155            2101          Continue
 126          3359          3363          3359          3363            4102          Continue
 127          2655          2656          2656          2655            4107          Continue
 128          5469          5468          5469          5468            4107          Continue
 129          3227          3229          3227          3229            4107          Continue
